,Cover_Type
565,2
566,1
567,2
568,2
569,1
570,2
571,2
572,2
573,2
574,2
575,2
576,2
577,2
578,2
579,2
580,2
581,2
582,2
583,2
584,2
585,2
586,1
587,2
588,2
589,5
590,2
591,2
592,2
593,2
594,2
595,5
596,2
597,1
598,5
599,2
600,2
601,5
602,2
603,5
604,2
605,1
606,5
607,5
608,1
609,1
610,5
611,1
612,5
613,5
614,5
615,5
616,2
617,2
618,2
619,2
620,2
621,2
622,1
623,5
624,5
625,2
626,5
627,5
628,5
629,5
630,2
631,5
632,2
633,2
634,1
635,5
636,5
637,5
638,2
639,5
640,5
641,5
642,5
643,2
644,2
645,2
646,2
647,2
648,5
649,5
650,5
651,2
652,1
653,1
654,1
655,5
656,5
657,5
658,2
659,5
660,5
661,2
662,2
663,2
664,2
665,1
666,1
667,2
668,2
669,1
670,2
671,2
672,2
673,2
674,1
675,2
676,2
677,5
678,2
679,2
680,2
681,2
682,2
683,2
684,5
685,2
686,1
687,2
688,5
689,2
690,2
691,2
692,2
693,5
694,5
695,5
696,2
697,5
698,5
699,5
700,5
701,2
702,1
703,1
704,2
705,2
706,5
707,2
708,2
709,2
710,5
711,5
712,2
713,2
714,2
715,2
716,2
717,2
718,2
719,2
720,2
721,2
722,2
723,2
724,2
725,2
726,2
727,2
728,2
729,5
730,2
731,2
732,2
733,2
734,2
735,2
736,2
737,2
738,2
739,2
740,2
741,2
742,5
743,2
744,1
745,2
746,2
747,2
748,1
749,2
750,2
751,2
752,2
753,2
754,2
755,1
756,2
757,2
758,2
759,1
760,2
761,2
762,2
763,2
764,2
765,2
766,2
767,1
768,1
769,2
770,2
771,2
772,2
773,1
774,2
775,1
776,1
777,2
778,2
779,1
780,2
781,2
782,1
783,2
784,2
785,2
786,1
787,1
788,2
789,1
790,2
791,2
792,2
793,1
794,1
795,1
796,2
797,2
798,2
799,2
800,2
801,1
802,1
803,2
804,1
805,2
806,2
807,2
808,2
809,2
810,2
811,2
812,1
813,2
814,2
815,2
816,2
817,2
818,2
819,2
820,2
821,1
822,1
823,2
824,1
825,2
826,1
827,2
828,2
829,2
830,2
831,1
832,1
833,2
834,1
835,2
836,2
837,2
838,2
839,1
840,2
841,2
842,2
843,2
844,2
845,1
846,1
847,2
848,2
849,2
850,1
851,2
852,2
853,2
854,1
855,2
856,1
857,1
858,2
859,2
860,5
861,5
862,2
863,2
864,5
865,5
866,1
867,2
868,5
869,5
870,2
871,2
872,2
873,2
874,5
875,5
876,5
877,1
878,2
879,5
880,2
881,2
882,2
883,2
884,2
885,2
886,5
887,5
888,5
889,2
890,5
891,5
892,5
893,5
894,2
895,2
896,1
897,5
898,5
899,5
900,2
901,5
902,5
903,2
904,2
905,5
906,2
907,2
908,2
909,5
910,5
911,1
912,1
913,1
914,5
915,5
916,5
917,1
918,5
919,5
920,5
921,5
922,2
923,2
924,2
925,2
926,2
927,2
928,5
929,5
930,5
931,2
932,5
933,5
934,5
935,2
936,5
937,5
938,5
939,2
940,2
941,5
942,5
943,2
944,2
945,5
946,1
947,1
948,5
949,2
950,2
951,2
952,5
953,5
954,2
955,1
956,2
957,1
958,2
959,5
960,2
961,2
962,2
963,5
964,5
965,5
966,2
967,1
968,5
969,5
970,5
971,5
972,5
973,1
974,5
975,5
976,2
977,5
978,5
979,2
980,2
981,2
982,2
983,1
984,1
985,2
986,2
987,2
988,1
989,1
990,2
991,1
992,2
993,2
994,1
995,1
996,1
997,2
998,1
999,1
1000,2
1001,1
1002,1
1003,1
1004,1
1005,1
1006,2
1007,2
1008,2
1009,2
1010,2
1011,1
1012,1
1013,1
1014,2
1015,2
1016,2
1017,1
1018,1
1019,1
1020,1
1021,1
1022,1
1023,1
1024,2
1025,1
1026,1
1027,1
1028,2
1029,2
1030,2
1031,2
1032,1
1033,1
1034,1
1035,1
1036,1
1037,2
1038,2
1039,2
1040,1
1041,1
1042,2
1043,2
1044,2
1045,2
1046,2
1047,2
1048,2
1049,1
1050,2
1051,2
1052,2
1053,2
1054,2
1055,2
1056,2
1057,2
1058,1
1059,1
1060,2
1061,1
1062,1
1063,2
1064,1
1065,2
1066,1
1067,2
1068,2
1069,1
1070,1
1071,2
1072,1
1073,2
1074,1
1075,2
1076,2
1077,2
1078,1
1079,2
1080,2
1081,1
1082,2
1083,1
1084,1
1085,2
1086,1
1087,2
1088,2
1089,2
1090,2
1091,2
1092,2
1093,1
1094,1
1095,2
1096,1
1097,1
1098,2
1099,2
1100,2
1101,2
1102,2
1103,1
1104,1
1105,2
1106,2
1107,2
1108,2
1109,1
1110,2
1111,2
1112,2
1113,2
1114,2
1115,1
1116,1
1117,1
1118,2
1119,2
1120,2
1121,1
1122,1
1123,2
1124,2
1125,1
1126,2
1127,2
1128,1
1129,1
1130,2
1131,1
1132,2
1133,2
1134,1
1135,2
1136,2
1137,2
1138,1
1139,1
1140,1
1141,1
1142,2
1143,1
1144,2
1145,1
1146,2
1147,1
1148,1
1149,1
1150,1
1151,1
1152,1
1153,2
1154,5
1155,5
1156,1
1157,5
1158,5
1159,5
1160,5
1161,5
1162,1
1163,5
1164,5
1165,1
1166,5
1167,1
1168,2
1169,1
1170,5
1171,2
1172,5
1173,5
1174,1
1175,2
1176,5
1177,5
1178,5
1179,5
1180,1
1181,2
1182,1
1183,2
1184,5
1185,5
1186,1
1187,1
1188,2
1189,5
1190,5
1191,5
1192,5
1193,5
1194,2
1195,5
1196,5
1197,5
1198,5
1199,5
1200,2
1201,5
1202,5
1203,5
1204,5
1205,5
1206,2
1207,5
1208,5
1209,5
1210,1
1211,2
1212,2
1213,2
1214,5
1215,1
1216,2
1217,2
1218,5
1219,5
1220,5
1221,2
1222,2
1223,5
1224,5
1225,5
1226,5
1227,5
1228,5
1229,5
1230,2
1231,5
1232,5
1233,5
1234,5
1235,5
1236,1
1237,1
1238,2
1239,1
1240,5
1241,2
1242,5
1243,5
1244,5
1245,1
1246,5
1247,5
1248,5
1249,2
1250,1
1251,5
1252,5
1253,5
1254,1
1255,1
1256,5
1257,5
1258,5
1259,5
1260,5
1261,5
1262,5
1263,1
1264,1
1265,1
1266,2
1267,5
1268,5
1269,5
1270,5
1271,1
1272,5
1273,2
1274,1
1275,2
1276,1
1277,1
1278,5
1279,5
1280,5
1281,1
1282,1
1283,5
1284,5
1285,5
1286,2
1287,5
1288,2
1289,5
1290,5
1291,5
1292,5
1293,5
1294,5
1295,2
1296,1
1297,1
1298,2
1299,2
1300,5
1301,5
1302,2
1303,5
1304,5
1305,1
1306,2
1307,2
1308,5
1309,1
1310,1
1311,1
1312,5
1313,1
1314,1
1315,1
1316,1
1317,5
1318,2
1319,2
1320,5
1321,1
1322,2
1323,2
1324,2
1325,5
1326,1
1327,2
1328,2
1329,5
1330,1
1331,1
1332,1
1333,1
1334,1
1335,1
1336,1
1337,1
1338,5
1339,2
1340,1
1341,5
1342,2
1343,2
1344,1
1345,5
1346,1
1347,5
1348,1
1349,1
1350,2
1351,1
1352,5
1353,5
1354,5
1355,1
1356,1
1357,5
1358,1
1359,1
1360,5
1361,5
1362,1
1363,5
1364,5
1365,1
1366,1
1367,2
1368,5
1369,5
1370,5
1371,1
1372,2
1373,2
1374,2
1375,5
1376,1
1377,5
1378,2
1379,5
1380,5
1381,5
1382,5
1383,1
1384,2
1385,5
1386,1
1387,5
1388,5
1389,5
1390,5
1391,1
1392,2
1393,5
1394,1
1395,1
1396,5
1397,5
1398,5
1399,5
1400,1
1401,2
1402,1
1403,5
1404,1
1405,5
1406,5
1407,5
1408,2
1409,1
1410,2
1411,5
1412,1
1413,1
1414,2
1415,5
1416,5
1417,2
1418,1
1419,5
1420,2
1421,1
1422,5
1423,5
1424,5
1425,1
1426,5
1427,5
1428,2
1429,1
1430,2
1431,5
1432,1
1433,5
1434,2
1435,1
1436,1
1437,1
1438,2
1439,5
1440,5
1441,1
1442,1
1443,5
1444,5
1445,5
1446,5
1447,1
1448,1
1449,5
1450,5
1451,5
1452,1
1453,1
1454,5
1455,5
1456,5
1457,2
1458,5
1459,5
1460,1
1461,5
1462,5
1463,5
1464,1
1465,1
1466,2
1467,2
1468,2
1469,5
1470,5
1471,5
1472,5
1473,1
1474,5
1475,2
1476,2
1477,1
1478,1
1479,1
1480,1
1481,2
1482,2
1483,5
1484,2
1485,2
1486,2
1487,5
1488,2
1489,1
1490,2
1491,5
1492,5
1493,1
1494,2
1495,5
1496,1
1497,2
1498,2
1499,1
1500,1
1501,5
1502,5
1503,1
1504,1
1505,5
1506,2
1507,5
1508,2
1509,5
1510,1
1511,1
1512,5
1513,1
1514,5
1515,5
1516,1
1517,1
1518,1
1519,5
1520,1
1521,1
1522,5
1523,5
1524,1
1525,2
1526,2
1527,2
1528,5
1529,5
1530,2
1531,1
1532,1
1533,2
1534,5
1535,5
1536,1
1537,1
1538,1
1539,2
1540,2
1541,5
1542,2
1543,5
1544,5
1545,1
1546,1
1547,5
1548,5
1549,5
1550,2
1551,2
1552,1
1553,1
1554,5
1555,5
1556,1
1557,5
1558,1
1559,5
1560,1
1561,1
1562,1
1563,5
1564,5
1565,2
1566,1
1567,1
1568,1
1569,2
1570,1
1571,1
1572,2
1573,5
1574,5
1575,2
1576,1
1577,1
1578,2
1579,5
1580,5
1581,5
1582,5
1583,2
1584,1
1585,2
1586,1
1587,2
1588,5
1589,1
1590,5
1591,5
1592,1
1593,1
1594,1
1595,5
1596,5
1597,5
1598,5
1599,5
1600,5
1601,5
1602,5
1603,1
1604,5
1605,1
1606,1
1607,2
1608,5
1609,1
1610,5
1611,5
1612,5
1613,2
1614,5
1615,5
1616,5
1617,5
1618,1
1619,5
1620,5
1621,1
1622,5
1623,5
1624,5
1625,1
1626,1
1627,5
1628,2
1629,5
1630,5
1631,1
1632,5
1633,1
1634,5
1635,1
1636,5
1637,5
1638,2
1639,2
1640,1
1641,1
1642,5
1643,1
1644,2
1645,2
1646,5
1647,5
1648,5
1649,2
1650,5
1651,5
1652,2
1653,1
1654,7
1655,7
1656,7
1657,5
1658,5
1659,5
1660,2
1661,1
1662,7
1663,7
1664,7
1665,5
1666,1
1667,7
1668,2
1669,2
1670,5
1671,5
1672,2
1673,7
1674,7
1675,5
1676,5
1677,1
1678,7
1679,7
1680,7
1681,7
1682,7
1683,7
1684,2
1685,5
1686,1
1687,1
1688,1
1689,7
1690,7
1691,7
1692,7
1693,7
1694,7
1695,7
1696,7
1697,1
1698,1
1699,5
1700,5
1701,5
1702,7
1703,7
1704,7
1705,5
1706,5
1707,5
1708,5
1709,1
1710,7
1711,7
1712,7
1713,7
1714,7
1715,5
1716,5
1717,1
1718,1
1719,7
1720,7
1721,7
1722,5
1723,5
1724,2
1725,2
1726,7
1727,7
1728,7
1729,7
1730,5
1731,5
1732,5
1733,5
1734,5
1735,7
1736,7
1737,7
1738,2
1739,2
1740,2
1741,5
1742,5
1743,5
1744,5
1745,5
1746,7
1747,7
1748,7
1749,7
1750,7
1751,2
1752,2
1753,5
1754,5
1755,5
1756,1
1757,7
1758,7
1759,7
1760,7
1761,7
1762,7
1763,5
1764,5
1765,5
1766,5
1767,2
1768,2
1769,7
1770,7
1771,7
1772,7
1773,5
1774,5
1775,5
1776,7
1777,7
1778,7
1779,7
1780,7
1781,7
1782,7
1783,7
1784,5
1785,5
1786,5
1787,7
1788,1
1789,7
1790,2
1791,5
1792,5
1793,5
1794,5
1795,1
1796,1
1797,1
1798,7
1799,1
1800,2
1801,5
1802,5
1803,2
1804,1
1805,7
1806,1
1807,7
1808,5
1809,5
1810,5
1811,1
1812,5
1813,5
1814,5
1815,1
1816,2
1817,2
1818,3
1819,5
1820,3
1821,5
1822,2
1823,2
1824,3
1825,3
1826,2
1827,3
1828,1
1829,7
1830,2
1831,5
1832,1
1833,1
1834,5
1835,5
1836,2
1837,3
1838,1
1839,2
1840,2
1841,5
1842,5
1843,1
1844,2
1845,5
1846,5
1847,5
1848,2
1849,3
1850,1
1851,1
1852,1
1853,1
1854,5
1855,5
1856,2
1857,3
1858,3
1859,7
1860,7
1861,7
1862,5
1863,5
1864,5
1865,5
1866,2
1867,2
1868,6
1869,3
1870,3
1871,3
1872,3
1873,3
1874,5
1875,3
1876,3
1877,5
1878,5
1879,2
1880,6
1881,6
1882,3
1883,1
1884,1
1885,1
1886,1
1887,5
1888,6
1889,6
1890,3
1891,3
1892,2
1893,2
1894,6
1895,6
1896,6
1897,2
1898,5
1899,5
1900,6
1901,6
1902,6
1903,2
1904,6
1905,6
1906,6
1907,3
1908,3
1909,3
1910,3
1911,3
1912,7
1913,7
1914,7
1915,1
1916,5
1917,2
1918,6
1919,6
1920,3
1921,3
1922,3
1923,7
1924,7
1925,2
1926,3
1927,6
1928,6
1929,6
1930,3
1931,3
1932,7
1933,7
1934,2
1935,5
1936,6
1937,6
1938,3
1939,7
1940,5
1941,5
1942,5
1943,2
1944,2
1945,6
1946,6
1947,6
1948,3
1949,7
1950,3
1951,3
1952,7
1953,1
1954,2
1955,6
1956,6
1957,2
1958,6
1959,3
1960,1
1961,7
1962,2
1963,2
1964,5
1965,2
1966,2
1967,3
1968,3
1969,1
1970,2
1971,5
1972,2
1973,2
1974,2
1975,6
1976,6
1977,6
1978,2
1979,3
1980,3
1981,3
1982,3
1983,5
1984,6
1985,6
1986,6
1987,6
1988,4
1989,3
1990,7
1991,5
1992,5
1993,2
1994,2
1995,6
1996,6
1997,4
1998,3
1999,7
2000,7
2001,7
2002,7
2003,2
2004,5
2005,5
2006,6
2007,6
2008,2
2009,6
2010,6
2011,3
2012,4
2013,3
2014,3
2015,3
2016,7
2017,5
2018,2
2019,6
2020,6
2021,6
2022,6
2023,6
2024,5
2025,3
2026,4
2027,3
2028,1
2029,7
2030,7
2031,7
2032,7
2033,7
2034,5
2035,6
2036,6
2037,5
2038,3
2039,4
2040,7
2041,7
2042,7
2043,7
2044,5
2045,5
2046,2
2047,6
2048,6
2049,6
2050,5
2051,3
2052,4
2053,3
2054,3
2055,3
2056,1
2057,7
2058,2
2059,5
2060,5
2061,6
2062,6
2063,6
2064,5
2065,6
2066,3
2067,4
2068,3
2069,7
2070,7
2071,2
2072,5
2073,5
2074,5
2075,5
2076,2
2077,6
2078,2
2079,6
2080,4
2081,3
2082,7
2083,7
2084,7
2085,5
2086,5
2087,6
2088,6
2089,6
2090,4
2091,3
2092,3
2093,3
2094,7
2095,7
2096,7
2097,7
2098,1
2099,1
2100,5
2101,5
2102,6
2103,6
2104,2
2105,6
2106,6
2107,6
2108,3
2109,4
2110,3
2111,7
2112,7
2113,2
2114,5
2115,5
2116,5
2117,5
2118,5
2119,1
2120,6
2121,6
2122,6
2123,6
2124,6
2125,6
2126,3
2127,4
2128,4
2129,3
2130,4
2131,3
2132,7
2133,7
2134,1
2135,5
2136,5
2137,1
2138,6
2139,6
2140,6
2141,6
2142,6
2143,4
2144,3
2145,7
2146,7
2147,5
2148,2
2149,2
2150,6
2151,2
2152,6
2153,6
2154,6
2155,6
2156,6
2157,3
2158,4
2159,4
2160,4
2161,4
2162,4
2163,4
2164,4
2165,7
2166,7
2167,7
2168,5
2169,5
2170,5
2171,2
2172,2
2173,6
2174,6
2175,6
2176,3
2177,3
2178,3
2179,4
2180,4
2181,4
2182,4
2183,3
2184,3
2185,3
2186,6
2187,7
2188,5
2189,2
2190,5
2191,6
2192,6
2193,6
2194,2
2195,6
2196,6
2197,3
2198,4
2199,4
2200,4
2201,6
2202,7
2203,1
2204,5
2205,5
2206,5
2207,2
2208,2
2209,6
2210,6
2211,4
2212,4
2213,3
2214,6
2215,6
2216,7
2217,7
2218,7
2219,5
2220,5
2221,6
2222,6
2223,6
2224,6
2225,6
2226,6
2227,3
2228,4
2229,6
2230,6
2231,6
2232,6
2233,6
2234,6
2235,7
2236,7
2237,1
2238,1
2239,5
2240,5
2241,6
2242,6
2243,6
2244,6
2245,6
2246,6
2247,3
2248,3
2249,4
2250,3
2251,6
2252,6
2253,6
2254,6
2255,5
2256,5
2257,5
2258,2
2259,2
2260,6
2261,6
2262,6
2263,6
2264,6
2265,6
2266,3
2267,3
2268,3
2269,4
2270,6
2271,6
2272,6
2273,6
2274,6
2275,6
2276,6
2277,5
2278,5
2279,5
2280,5
2281,5
2282,5
2283,5
2284,2
2285,6
2286,6
2287,6
2288,6
2289,4
2290,4
2291,3
2292,3
2293,6
2294,6
2295,6
2296,6
2297,6
2298,6
2299,6
2300,5
2301,2
2302,5
2303,5
2304,5
2305,5
2306,5
2307,5
2308,2
2309,5
2310,2
2311,2
2312,6
2313,6
2314,6
2315,6
2316,6
2317,3
2318,3
2319,3
2320,4
2321,3
2322,1
2323,2
2324,5
2325,5
2326,5
2327,5
2328,5
2329,5
2330,5
2331,6
2332,6
2333,6
2334,6
2335,3
2336,4
2337,4
2338,3
2339,3
2340,6
2341,6
2342,6
2343,6
2344,6
2345,5
2346,5
2347,5
2348,5
2349,5
2350,5
2351,5
2352,5
2353,5
2354,5
2355,6
2356,2
2357,3
2358,3
2359,3
2360,3
2361,6
2362,6
2363,3
2364,5
2365,5
2366,5
2367,5
2368,5
2369,5
2370,5
2371,5
2372,5
2373,5
2374,5
2375,6
2376,6
2377,6
2378,3
2379,6
2380,6
2381,6
2382,6
2383,6
2384,6
2385,5
2386,5
2387,5
2388,5
2389,5
2390,5
2391,5
2392,5
2393,5
2394,5
2395,5
2396,5
2397,5
2398,5
2399,2
2400,6
2401,6
2402,3
2403,4
2404,6
2405,6
2406,6
2407,6
2408,5
2409,5
2410,5
2411,5
2412,5
2413,5
2414,5
2415,5
2416,5
2417,5
2418,5
2419,5
2420,5
2421,2
2422,3
2423,3
2424,3
2425,4
2426,3
2427,6
2428,6
2429,6
2430,6
2431,3
2432,5
2433,5
2434,5
2435,2
2436,5
2437,5
2438,5
2439,5
2440,5
2441,5
2442,5
2443,2
2444,2
2445,6
2446,6
2447,3
2448,3
2449,3
2450,3
2451,3
2452,4
2453,3
2454,3
2455,6
2456,6
2457,6
2458,6
2459,6
2460,5
2461,5
2462,5
2463,5
2464,5
2465,5
2466,5
2467,5
2468,5
2469,5
2470,5
2471,5
2472,5
2473,6
2474,6
2475,6
2476,3
2477,6
2478,6
2479,6
2480,6
2481,4
2482,3
2483,3
2484,6
2485,6
2486,6
2487,3
2488,5
2489,5
2490,5
2491,5
2492,5
2493,5
2494,5
2495,5
2496,5
2497,5
2498,6
2499,6
2500,6
2501,3
2502,3
2503,3
2504,3
2505,6
2506,2
2507,2
2508,5
2509,5
2510,5
2511,5
2512,2
2513,6
2514,6
2515,3
2516,3
2517,3
2518,6
2519,6
2520,6
2521,5
2522,5
2523,5
2524,5
2525,5
2526,2
2527,2
2528,6
2529,6
2530,3
2531,3
2532,3
2533,6
2534,6
2535,6
2536,6
2537,2
2538,5
2539,5
2540,5
2541,5
2542,5
2543,5
2544,5
2545,5
2546,5
2547,2
2548,6
2549,6
2550,6
2551,6
2552,4
2553,4
2554,3
2555,3
2556,6
2557,6
2558,6
2559,6
2560,6
2561,1
2562,5
2563,5
2564,5
2565,5
2566,5
2567,5
2568,5
2569,6
2570,6
2571,6
2572,6
2573,4
2574,4
2575,4
2576,6
2577,6
2578,2
2579,2
2580,5
2581,5
2582,5
2583,5
2584,5
2585,5
2586,5
2587,5
2588,5
2589,5
2590,2
2591,2
2592,2
2593,2
2594,6
2595,6
2596,4
2597,4
2598,4
2599,4
2600,4
2601,4
2602,3
2603,3
2604,3
2605,3
2606,6
2607,3
2608,3
2609,5
2610,5
2611,2
2612,2
2613,6
2614,6
2615,6
2616,6
2617,4
2618,4
2619,4
2620,4
2621,4
2622,4
2623,4
2624,4
2625,4
2626,4
2627,4
2628,3
2629,3
2630,6
2631,6
2632,6
2633,6
2634,3
2635,3
2636,3
2637,5
2638,5
2639,5
2640,5
2641,6
2642,2
2643,6
2644,6
2645,3
2646,4
2647,4
2648,4
2649,4
2650,4
2651,4
2652,4
2653,6
2654,6
2655,3
2656,2
2657,5
2658,5
2659,5
2660,5
2661,5
2662,5
2663,5
2664,2
2665,6
2666,6
2667,6
2668,4
2669,4
2670,4
2671,4
2672,4
2673,4
2674,4
2675,4
2676,4
2677,3
2678,6
2679,6
2680,3
2681,5
2682,5
2683,5
2684,2
2685,2
2686,6
2687,6
2688,3
2689,4
2690,3
2691,4
2692,4
2693,4
2694,4
2695,4
2696,3
2697,3
2698,3
2699,3
2700,3
2701,3
2702,6
2703,6
2704,6
2705,3
2706,3
2707,1
2708,5
2709,5
2710,5
2711,5
2712,5
2713,5
2714,5
2715,2
2716,2
2717,6
2718,4
2719,4
2720,3
2721,3
2722,3
2723,6
2724,6
2725,5
2726,5
2727,5
2728,1
2729,5
2730,1
2731,5
2732,5
2733,5
2734,2
2735,2
2736,6
2737,6
2738,6
2739,6
2740,6
2741,6
2742,6
2743,4
2744,4
2745,4
2746,3
2747,3
2748,6
2749,6
2750,6
2751,3
2752,5
2753,5
2754,2
2755,5
2756,5
2757,5
2758,5
2759,2
2760,6
2761,6
2762,3
2763,4
2764,3
2765,3
2766,3
2767,7
2768,7
2769,7
2770,5
2771,5
2772,5
2773,5
2774,5
2775,5
2776,2
2777,6
2778,6
2779,6
2780,6
2781,6
2782,6
2783,3
2784,3
2785,3
2786,3
2787,4
2788,4
2789,3
2790,3
2791,3
2792,3
2793,7
2794,5
2795,5
2796,5
2797,5
2798,5
2799,2
2800,2
2801,6
2802,3
2803,3
2804,3
2805,4
2806,3
2807,3
2808,3
2809,6
2810,6
2811,6
2812,6
2813,3
2814,5
2815,5
2816,5
2817,6
2818,6
2819,6
2820,6
2821,6
2822,3
2823,3
2824,3
2825,4
2826,4
2827,3
2828,3
2829,6
2830,6
2831,3
2832,7
2833,7
2834,7
2835,1
2836,1
2837,5
2838,5
2839,1
2840,6
2841,6
2842,3
2843,3
2844,3
2845,3
2846,3
2847,3
2848,3
2849,3
2850,3
2851,6
2852,1
2853,5
2854,1
2855,5
2856,5
2857,2
2858,6
2859,3
2860,3
2861,4
2862,4
2863,3
2864,3
2865,4
2866,3
2867,3
2868,6
2869,6
2870,6
2871,6
2872,6
2873,3
2874,7
2875,5
2876,5
2877,5
2878,5
2879,5
2880,5
2881,5
2882,5
2883,3
2884,3
2885,3
2886,4
2887,4
2888,4
2889,3
2890,3
2891,4
2892,3
2893,3
2894,3
2895,3
2896,6
2897,1
2898,5
2899,5
2900,5
2901,5
2902,5
2903,5
2904,1
2905,6
2906,3
2907,3
2908,4
2909,4
2910,4
2911,3
2912,3
2913,3
2914,3
2915,3
2916,7
2917,1
2918,5
2919,5
2920,5
2921,5
2922,5
2923,5
2924,4
2925,4
2926,4
2927,4
2928,3
2929,6
2930,6
2931,6
2932,6
2933,3
2934,7
2935,5
2936,2
2937,6
2938,4
2939,3
2940,3
2941,4
2942,4
2943,3
2944,4
2945,4
2946,3
2947,3
2948,3
2949,6
2950,7
2951,7
2952,5
2953,5
2954,2
2955,2
2956,3
2957,3
2958,3
2959,3
2960,3
2961,4
2962,4
2963,4
2964,4
2965,3
2966,3
2967,3
2968,3
2969,6
2970,2
2971,3
2972,3
2973,3
2974,3
2975,3
2976,4
2977,3
2978,3
2979,3
2980,4
2981,4
2982,4
2983,4
2984,4
2985,4
2986,3
2987,3
2988,3
2989,6
2990,6
2991,3
2992,3
2993,7
2994,5
2995,2
