,Wilderness_Area1,Wilderness_Area3,Wilderness_Area4,Horizontal_Distance_To_Hydrology_x_Hillshade_3pm,Hillshade_9am_x_Hillshade_Noon,binned_elevation,Road+Fire,Lower_Montane_Climate,Montane_Climate,Montante_and_Subalpine_Climate,Subalpine_Climate,Alpine_Climate,Alluvium_Soil,Igneus_and_Metamorphic_Soil,Type_Stony
45,1,0,0,27300,51300,50,6150,0,0,1,0,0,0,1,1
46,1,0,0,27560,53128,50,6158,0,0,1,0,0,0,1,1
47,1,0,0,31824,53360,50,6134,0,0,1,0,0,0,1,1
48,1,0,0,12825,51529,49,6257,0,0,1,0,0,0,1,1
49,1,0,0,11135,53592,49,6144,0,0,1,0,0,0,1,1
50,1,0,0,2880,50292,54,9336,0,0,0,1,0,0,1,1
51,1,0,0,16320,30545,54,9337,0,0,0,1,0,0,1,1
52,1,0,0,4470,51948,53,9342,0,0,0,1,0,0,1,1
53,1,0,0,20352,50955,50,6216,0,0,1,0,0,0,1,1
54,1,0,0,22575,52210,50,6228,0,0,1,0,0,0,1,1
55,1,0,0,6000,31376,54,9348,0,0,1,0,0,1,0,0
56,1,0,0,22040,51027,50,6209,0,0,1,0,0,0,1,1
57,1,0,0,25020,51750,49,6132,0,0,1,0,0,0,1,1
58,1,0,0,26775,50112,49,6094,0,0,1,0,0,0,1,1
59,1,0,0,22842,50167,49,6057,0,0,1,0,0,0,1,1
60,1,0,0,18358,52210,49,6028,0,0,1,0,0,0,1,1
61,1,0,0,4872,54014,59,9354,0,0,0,1,0,0,1,1
62,1,0,0,17286,52896,54,8638,0,1,0,0,0,0,1,1
63,1,0,0,21114,49504,50,6151,0,0,1,0,0,0,1,1
64,1,0,0,17400,47250,50,6075,0,0,1,0,0,0,1,1
65,1,0,0,15748,50609,49,6037,0,0,1,0,0,0,1,1
66,1,0,0,17956,51076,50,6084,0,0,1,0,0,0,1,1
67,1,0,0,12780,44298,58,9381,0,0,0,1,0,0,1,1
68,1,0,0,30084,50848,54,8973,0,1,0,0,0,0,1,1
69,1,0,0,22860,51975,52,6958,0,0,0,1,0,0,1,1
70,1,0,0,34848,56120,56,9390,0,0,0,1,0,0,1,1
71,1,0,0,32132,46384,60,9407,0,0,0,1,0,0,1,1
72,1,0,0,11016,54635,57,9406,0,0,0,1,0,0,1,1
73,1,0,0,0,46830,57,9406,0,0,1,0,0,1,0,0
74,1,0,0,32640,47306,52,6605,0,0,0,1,0,0,1,1
75,1,0,0,18693,54808,57,9416,0,0,0,1,0,0,1,1
76,1,0,0,14472,54755,56,9422,0,0,0,1,0,0,1,1
77,1,0,0,4980,48438,50,6109,0,0,1,0,0,1,0,0
78,1,0,0,49660,53590,56,9448,0,1,0,0,0,0,1,1
79,1,0,0,13668,55671,56,9446,0,0,0,1,0,0,1,1
80,1,0,0,64251,51959,55,9477,0,0,0,1,0,1,0,0
81,1,0,0,7973,56635,54,9037,0,1,0,0,0,0,1,1
82,1,0,0,22800,31042,56,9493,0,0,0,1,0,0,1,1
83,1,0,0,30240,43260,56,9496,0,1,0,0,0,0,1,1
84,1,0,0,28770,49728,50,6051,0,0,1,0,0,0,1,1
85,1,0,0,26425,39346,57,9505,0,0,0,1,0,0,1,1
86,1,0,0,5430,29747,56,9504,0,0,0,1,0,0,1,1
87,1,0,0,82880,48590,56,9541,0,1,0,0,0,0,1,1
88,1,0,0,51832,50609,55,9548,0,1,0,0,0,0,1,1
89,1,0,0,12328,44460,54,8844,0,0,0,1,0,0,1,1
90,1,0,0,37264,53590,50,5893,0,0,1,0,0,0,1,1
91,1,0,0,4110,41818,55,9522,0,0,0,1,0,0,1,1
92,1,0,0,10452,43600,51,6088,0,0,0,1,0,0,1,1
93,1,0,0,16092,55842,61,9571,0,0,0,1,0,0,1,1
94,1,0,0,51546,51051,59,9534,0,0,0,1,0,0,1,1
95,1,0,0,39825,47524,57,9548,0,1,0,0,0,0,1,1
96,1,0,0,12240,55890,61,9585,0,0,0,1,0,0,1,1
97,1,0,0,76563,51975,56,9586,0,1,0,0,0,0,1,1
98,1,0,0,0,51493,51,6207,0,0,1,0,0,1,0,0
99,1,0,0,26220,48399,51,6060,0,0,1,0,0,0,1,1
100,1,0,0,47034,49506,59,9563,0,0,0,1,0,0,1,1
101,1,0,0,16950,52140,53,7370,0,0,0,1,0,0,1,1
102,1,0,0,19200,47952,53,7289,0,0,0,1,0,0,1,1
103,1,0,0,19000,53436,57,9573,0,0,0,1,0,0,1,1
104,1,0,0,26010,54208,51,6090,0,0,1,0,0,0,1,1
105,1,0,0,26892,52920,50,5731,0,0,1,0,0,0,1,1
106,1,0,0,4410,50370,61,9626,0,0,0,1,0,1,0,0
107,1,0,0,13668,46487,58,9586,0,0,0,1,0,0,1,1
108,1,0,0,49749,41688,57,9613,0,0,0,1,0,0,1,1
109,1,0,0,0,51192,51,6345,0,0,1,0,0,1,0,0
110,1,0,0,46920,54240,63,7184,0,0,0,1,0,0,1,1
111,1,0,0,42834,42903,56,9623,0,0,1,0,0,1,0,0
112,1,0,0,56430,48231,55,8503,0,1,0,0,0,0,1,1
113,1,0,0,54800,52668,55,8410,0,1,0,0,0,0,1,1
114,1,0,0,30096,53592,51,6110,0,0,1,0,0,0,1,1
115,1,0,0,47369,54390,63,7147,0,0,0,1,0,0,1,1
116,1,0,0,26880,47443,59,9636,0,0,0,1,0,0,1,1
117,1,0,0,40415,51075,57,9633,0,0,0,1,0,0,1,1
118,1,0,0,27170,52200,51,6165,0,0,1,0,0,0,1,1
119,1,0,0,45540,43888,56,9669,0,0,0,1,0,0,1,1
120,1,0,0,40936,53360,54,7902,0,1,0,0,0,0,1,1
121,1,0,0,4590,44880,61,9748,0,0,0,1,0,0,1,1
122,1,0,0,17700,55440,61,9719,0,0,0,1,0,0,1,1
123,1,0,0,2760,54560,56,9710,0,0,0,1,0,0,1,1
124,1,0,0,16915,22800,56,9710,0,0,0,1,0,0,1,1
125,1,0,0,3570,54492,52,6690,0,0,1,0,0,1,0,0
126,1,0,0,74385,52670,57,9766,0,1,0,0,0,0,1,1
127,1,0,0,35802,45732,54,7681,0,1,0,0,0,0,1,1
128,1,0,0,6030,55029,52,6887,0,0,0,1,0,0,1,1
129,1,0,0,31536,50380,52,6337,0,1,0,0,0,0,1,1
130,1,0,0,0,44019,58,9774,0,0,0,1,0,0,1,1
131,1,0,0,5580,43571,55,8988,0,0,0,1,0,0,1,1
132,1,0,0,9945,47475,59,9812,0,0,0,1,0,0,1,1
133,1,0,0,9310,45800,58,9787,0,0,0,1,0,0,1,1
134,1,0,0,0,44280,50,6092,0,0,1,0,0,1,0,0
135,1,0,0,21546,54522,62,9216,0,0,0,1,0,0,1,1
136,1,0,0,4860,43537,58,9818,0,0,0,1,0,0,1,1
137,1,0,0,85500,48138,57,9813,0,0,0,1,0,0,1,1
138,1,0,0,6888,42486,55,9031,0,0,0,1,0,0,1,1
139,1,0,0,29760,51968,49,5062,0,0,1,0,0,0,1,1
140,1,0,0,128968,48514,62,7639,0,0,0,1,0,0,1,1
141,1,0,0,13320,33640,56,9819,0,0,0,1,0,0,1,1
142,1,0,0,34816,54285,56,9870,0,1,0,0,0,0,1,1
143,1,0,0,38160,33600,57,9838,0,0,0,1,0,0,1,1
144,1,0,0,31392,54026,56,9899,0,0,0,1,0,1,0,0
145,1,0,0,36300,53312,54,7765,0,1,0,0,0,0,1,1
146,1,0,0,18050,51304,59,9906,0,0,0,1,0,0,1,1
147,1,0,0,75896,51957,62,8205,0,0,0,1,0,0,1,1
148,1,0,0,26950,48548,56,9951,0,0,0,1,0,1,0,0
149,1,0,0,35332,49932,50,5443,0,0,1,0,0,0,1,1
150,1,0,0,4080,52899,63,6123,0,0,0,1,0,0,1,1
151,1,0,0,46200,33060,58,9940,0,0,0,1,0,0,1,1
152,1,0,0,43660,49032,57,9971,0,1,0,0,0,0,1,1
153,1,0,0,21000,46004,53,6922,0,1,0,0,0,0,1,1
154,1,0,0,76744,51816,62,8106,0,0,0,1,0,0,1,1
155,1,0,0,10320,52624,62,8674,0,0,0,1,0,0,1,1
156,1,0,0,78080,45046,58,9974,0,0,0,1,0,0,1,1
157,1,0,0,33354,50561,55,9115,0,1,0,0,0,0,1,1
158,1,0,0,31065,48070,51,5390,0,0,1,0,0,0,1,1
159,1,0,0,61131,47064,49,4903,0,0,1,0,0,0,1,1
160,1,0,0,49915,55615,60,7578,0,0,0,1,0,0,1,1
161,1,0,0,11475,56628,61,8466,0,0,0,1,0,0,1,1
162,1,0,0,28944,53966,58,10035,0,0,0,1,0,0,1,1
163,1,0,0,43750,47286,51,5622,0,0,0,1,0,0,1,1
164,1,0,0,22860,38982,63,6155,0,0,0,1,0,0,1,1
165,1,0,0,57348,52000,60,7612,0,0,0,1,0,0,1,1
166,1,0,0,87210,50578,61,9236,0,0,0,1,0,0,1,1
167,1,0,0,14400,25990,57,10051,0,0,0,1,0,0,1,1
168,1,0,0,37848,53965,60,7459,0,0,0,1,0,0,0,0
169,1,0,0,61440,55000,60,7766,0,0,0,1,0,0,1,1
170,1,0,0,7370,56120,57,10121,0,0,0,1,0,0,1,1
171,1,0,0,37642,47475,63,6280,0,0,0,1,0,0,1,1
172,1,0,0,43776,53775,59,10147,0,0,0,1,0,0,1,1
173,1,0,0,44700,36616,53,5883,0,0,0,1,0,0,1,1
174,1,0,0,54534,48364,63,6400,0,0,0,1,0,0,1,1
175,1,0,0,74176,48124,59,10145,0,0,0,1,0,1,0,0
176,1,0,0,54208,53058,52,5415,0,0,0,1,0,0,1,1
177,1,0,0,53105,36348,59,10192,0,0,0,1,0,0,1,1
178,1,0,0,24924,50609,56,9996,0,0,0,1,0,1,0,0
179,1,0,0,68242,51040,63,6384,0,0,0,1,0,0,1,1
180,1,0,0,90846,53325,61,9557,0,0,0,1,0,0,1,1
181,1,0,0,4950,49324,55,8358,0,1,0,0,0,0,1,1
182,1,0,0,80400,46440,60,9954,0,0,0,1,0,0,1,1
183,1,0,0,3390,52377,57,10275,0,0,0,1,0,0,1,1
184,1,0,0,69960,50456,64,6111,0,0,0,1,0,0,1,1
185,1,0,0,68572,54747,63,6373,0,0,0,1,0,0,1,1
186,1,0,0,15600,37128,61,7199,0,0,0,1,0,0,1,1
187,1,0,0,7308,40885,56,9666,0,0,0,1,0,0,1,1
188,1,0,0,50040,53586,50,4075,0,0,1,0,0,0,1,1
189,1,0,0,43212,53482,61,8503,0,0,0,1,0,0,1,1
190,1,0,0,43865,44019,62,6924,0,0,0,1,0,0,1,1
191,1,0,0,39128,56088,59,10447,0,0,0,1,0,0,1,1
192,1,0,0,10184,53984,54,5938,0,1,0,0,0,0,1,1
193,1,0,0,77007,54289,63,6279,0,0,0,1,0,0,1,1
194,1,0,0,7440,55692,54,7595,0,1,0,0,0,0,1,1
195,1,0,0,39125,52891,50,3962,0,0,1,0,0,0,1,1
196,1,0,0,19504,41548,60,7470,0,0,0,1,0,0,1,1
197,1,0,0,105060,50820,61,9964,0,0,0,1,0,0,1,1
198,1,0,0,31350,46056,58,10499,0,1,0,0,0,0,1,1
199,1,0,0,8040,55680,54,7730,0,1,0,0,0,0,1,1
200,1,0,0,28800,35588,57,10492,0,0,0,1,0,0,1,1
201,1,0,0,95256,51051,64,6094,0,0,0,1,0,0,1,1
202,1,0,0,26160,52640,51,4236,0,0,0,1,0,0,1,1
203,1,0,0,55660,45305,63,6845,0,0,0,1,0,0,1,1
204,1,0,0,19200,55000,59,8251,0,0,0,1,0,0,1,1
205,1,0,0,0,51750,54,7699,0,0,0,1,0,1,0,0
206,1,0,0,93357,48375,63,6324,0,0,0,1,0,1,0,0
207,1,0,0,12446,56069,58,10555,0,0,0,1,0,0,1,1
208,1,0,0,14688,47066,57,9427,0,0,0,1,0,0,1,1
209,1,0,0,41990,48837,54,5057,0,1,0,0,0,0,1,1
210,1,0,0,74896,41400,63,6830,0,0,0,1,0,0,1,1
211,1,0,0,56772,52675,59,8690,0,0,0,1,0,0,1,1
212,1,0,0,83284,35096,60,10748,0,0,0,1,0,0,1,1
213,1,0,0,91956,37856,60,10746,0,0,0,1,0,0,1,1
214,1,0,0,12580,44280,55,7638,0,0,0,1,0,0,1,1
215,1,0,0,64272,46716,64,6090,0,0,0,0,1,0,1,1
216,1,0,0,12665,46189,59,7986,0,0,1,0,0,1,0,0
217,1,0,0,140712,43665,64,6425,0,0,0,1,0,0,0,0
218,1,0,0,2700,36784,59,7929,0,0,0,1,0,0,1,1
219,1,0,0,65952,56120,59,9090,0,0,0,1,0,0,1,1
220,1,0,0,11250,41607,50,3603,0,0,0,1,0,0,1,1
221,1,0,0,131760,49000,60,9693,0,0,0,1,0,0,1,1
222,1,0,0,18900,49050,59,8083,0,0,1,0,0,1,0,0
223,1,0,0,45135,52668,59,8702,0,0,0,1,0,0,1,1
224,1,0,0,73568,43834,60,10908,0,1,0,0,0,0,1,1
225,1,0,0,18228,51051,54,6530,0,1,0,0,0,0,1,1
226,1,0,0,82611,56608,60,9829,0,0,0,1,0,0,1,1
227,1,0,0,41040,47730,57,9406,0,0,0,1,0,0,1,1
228,1,0,0,97800,46081,60,10965,0,1,0,0,0,0,1,1
229,1,0,0,52930,55029,60,11005,0,0,0,1,0,0,1,1
230,1,0,0,37430,44344,58,10083,0,0,0,1,0,0,1,1
231,1,0,0,5070,51516,58,8511,0,0,0,1,0,0,0,0
232,1,0,0,30600,53424,58,8746,0,0,0,1,0,0,1,1
233,1,0,0,56925,47897,59,11063,0,1,0,0,0,0,1,1
234,1,0,0,18900,54516,54,6789,0,1,0,0,0,0,1,1
235,1,0,0,10184,38540,52,4085,0,0,0,1,0,0,1,1
236,1,0,0,124500,48438,64,6190,0,0,0,1,0,0,0,0
237,1,0,0,129610,44730,64,6508,0,0,0,1,0,0,0,0
238,1,0,0,5964,32912,52,4163,0,0,0,1,0,0,1,1
239,1,0,0,64894,45787,58,9542,0,0,0,1,0,0,1,1
240,1,0,0,27537,50175,56,7747,0,0,0,1,0,0,1,1
241,1,0,0,49126,52598,50,2960,0,0,0,1,0,0,1,1
242,1,0,0,69414,49950,65,6089,0,0,0,0,1,0,1,1
243,1,0,0,127020,52416,60,11119,0,1,0,0,0,0,1,1
244,1,0,0,17688,45045,59,8182,0,0,0,1,0,0,1,1
245,1,0,0,9095,50740,57,10694,0,0,0,1,0,0,1,1
246,1,0,0,22724,38372,59,8198,0,0,0,1,0,0,1,1
247,1,0,0,108870,49392,60,11223,0,0,0,1,0,0,1,1
248,1,0,0,109296,55920,60,11228,0,1,0,0,0,0,1,1
249,1,0,0,12000,48880,55,6711,0,1,0,0,0,0,1,1
250,1,0,0,85170,48204,58,9662,0,0,0,1,0,1,0,0
251,1,0,0,54340,54990,63,7058,0,0,0,1,0,1,0,0
252,1,0,0,47784,52899,63,7123,0,0,0,1,0,0,0,0
253,1,0,0,60840,52185,59,10238,0,0,0,1,0,0,1,1
254,1,0,0,3240,51884,57,10679,0,0,0,1,0,0,1,1
255,1,0,0,98615,54502,60,11319,0,0,0,1,0,0,1,1
256,1,0,0,115354,52668,60,11364,0,1,0,0,0,0,1,1
257,1,0,0,59328,50190,64,6836,0,0,0,1,0,0,0,0
258,1,0,0,111918,54747,60,11400,0,0,0,1,0,0,1,1
259,1,0,0,36096,43008,51,2900,0,0,0,1,0,0,1,1
260,1,0,0,92132,55454,65,6678,0,0,0,1,0,0,0,0
261,1,0,0,4500,50358,63,7606,0,0,0,1,0,1,0,0
262,1,0,0,10787,43560,57,8413,0,0,0,1,0,0,1,1
263,1,0,0,45150,47264,63,7175,0,0,0,1,0,1,0,0
264,1,0,0,71553,49000,59,11333,0,0,0,1,0,0,1,1
265,1,0,0,0,47740,63,7534,0,0,0,1,0,0,1,1
266,1,0,0,104880,55596,59,11601,0,0,0,1,0,0,1,1
267,1,0,0,29190,55448,58,10211,0,0,0,1,0,0,1,1
268,1,0,0,64872,55125,59,11767,0,1,0,0,0,0,1,1
269,1,0,0,62626,52961,58,11231,0,0,0,1,0,0,1,1
270,1,0,0,95281,53074,59,11808,0,0,0,1,0,0,1,1
271,1,0,0,0,50095,58,10892,0,0,0,1,0,1,0,0
272,1,0,0,0,48995,58,10835,0,0,0,1,0,1,0,0
273,1,0,0,21600,47760,59,10603,0,1,0,0,0,0,1,1
274,1,0,0,6660,54692,55,6533,0,1,0,0,0,0,1,1
275,1,0,0,9660,50718,55,6315,0,0,0,1,0,0,0,0
276,1,0,0,27846,38940,55,4996,0,0,0,1,0,0,1,1
277,1,0,0,33306,40725,55,4945,0,0,0,1,0,0,1,1
278,1,0,0,30960,56635,58,9612,0,0,0,1,0,0,1,1
279,1,0,0,139650,53312,60,11823,0,0,0,1,0,0,1,1
280,1,0,0,39083,51272,59,11528,0,0,0,1,0,0,1,1
281,1,0,0,16482,49042,57,7635,0,1,0,0,0,0,1,1
282,1,0,0,5418,48614,50,2474,0,0,0,1,0,1,0,0
283,1,0,0,66101,51756,59,11854,0,0,0,1,0,0,1,1
284,1,0,0,66982,42532,61,8390,0,0,0,1,0,0,1,1
285,1,0,0,7380,51736,56,7128,0,0,0,1,0,0,0,0
286,1,0,0,0,48672,64,7462,0,0,0,1,0,1,0,0
287,1,0,0,138075,41701,62,8026,0,0,0,1,0,0,1,1
288,1,0,0,9300,42355,50,2609,0,0,0,1,0,1,0,0
289,1,0,0,5124,52650,59,10937,0,1,0,0,0,0,1,1
290,1,0,0,28341,44304,56,6082,0,1,0,0,0,0,1,1
291,1,0,0,57276,52360,54,4296,0,1,0,0,0,0,1,1
292,1,0,0,150273,41070,63,8055,0,0,0,1,0,0,1,1
293,1,0,0,162159,45360,59,12007,0,0,0,1,0,1,0,0
294,1,0,0,42228,53586,59,9378,0,1,0,0,0,0,1,1
295,1,0,0,11664,50976,58,8978,0,0,0,1,0,0,1,1
296,1,0,0,24021,47443,56,6349,0,0,0,1,0,0,0,0
297,1,0,0,29820,53118,55,4967,0,1,0,0,0,0,1,1
298,1,0,0,82375,41808,61,8553,0,0,0,1,0,0,1,1
299,1,0,0,18900,46081,58,9112,0,0,0,1,0,0,0,0
300,1,0,0,58531,48265,58,11223,0,0,0,1,0,0,1,1
301,1,0,0,57494,51336,58,11267,0,0,0,1,0,0,1,1
302,1,0,0,15045,50020,59,10700,0,1,0,0,0,0,1,1
303,1,0,0,25058,41907,51,2560,0,0,0,1,0,0,1,1
304,1,0,0,62050,44352,62,8225,0,0,0,1,0,0,1,1
305,1,0,0,30528,46209,56,4948,0,1,0,0,0,0,1,1
306,1,0,0,6048,43248,51,2809,0,0,0,1,0,0,1,1
307,1,0,0,64782,51376,58,11611,0,0,0,1,0,0,1,1
308,1,0,0,140576,49647,60,12188,0,0,0,1,0,0,1,1
309,1,0,0,48972,53130,56,4672,0,0,0,1,0,0,1,1
310,1,0,0,31104,48048,59,10641,0,1,0,0,0,0,1,1
311,1,0,0,58752,46200,63,8226,0,0,0,1,0,0,0,0
312,1,0,0,20770,48108,57,6952,0,0,0,1,0,0,1,1
313,1,0,0,48146,50850,56,4663,0,0,0,1,0,0,1,1
314,1,0,0,39530,51714,60,11630,0,1,0,0,0,0,1,1
315,1,0,0,37395,55692,58,7901,0,1,0,0,0,0,1,1
316,1,0,0,31130,43800,53,3516,0,0,0,1,0,0,1,1
317,1,0,0,58201,55920,63,8172,0,0,0,1,0,0,1,1
318,1,0,0,46364,52539,58,11698,0,0,1,0,0,1,0,0
319,1,0,0,57684,51980,63,8249,0,0,0,1,0,0,0,0
320,1,0,0,4110,47960,59,9848,0,0,0,1,0,1,0,0
321,1,0,0,3930,53592,58,9446,0,0,0,1,0,1,0,0
322,1,0,0,100674,44880,64,7698,0,0,0,1,0,0,0,0
323,1,0,0,65880,50400,64,7922,0,0,0,1,0,0,1,1
324,1,0,0,36252,51484,58,11702,0,0,1,0,0,1,0,0
325,1,0,0,62800,50976,57,6522,0,0,0,1,0,0,1,1
326,1,0,0,37312,50264,58,11884,0,0,1,0,0,1,0,0
327,1,0,0,0,47722,56,5202,0,0,0,1,0,1,0,0
328,1,0,0,115731,45173,65,7689,0,0,0,1,0,0,0,0
329,1,0,0,36330,49646,63,8160,0,0,0,1,0,0,1,1
330,1,0,0,24960,50621,59,9738,0,0,0,1,0,0,1,1
331,1,0,0,67716,47628,58,12206,0,0,0,1,0,0,1,1
332,1,0,0,106470,50160,61,11702,0,1,0,0,0,0,1,1
333,1,0,0,40704,45120,59,9359,0,0,0,1,0,0,1,1
334,1,0,0,50838,44220,55,4034,0,1,0,0,0,0,1,1
335,1,0,0,27540,53280,63,8256,0,0,0,1,0,0,1,1
336,1,0,0,31779,49608,62,8672,0,0,0,1,0,0,1,1
337,1,0,0,20574,49275,57,7328,0,1,0,0,0,0,1,1
338,1,0,0,18492,54050,63,8095,0,0,0,1,0,0,1,1
339,1,0,0,26814,52192,60,9266,0,0,0,1,0,0,1,1
340,1,0,0,87840,49446,59,12219,0,0,0,1,0,0,1,1
341,1,0,0,28608,50140,59,10282,0,1,0,0,0,0,1,1
342,1,0,0,40052,47073,59,9826,0,1,0,0,0,0,1,1
343,1,0,0,41055,42098,58,8193,0,1,0,0,0,0,1,1
344,1,0,0,21306,54145,62,8549,0,0,0,1,0,0,1,1
345,1,0,0,30492,56644,56,4360,0,0,0,1,0,0,1,1
346,1,0,0,6636,55056,62,8481,0,0,0,1,0,0,1,1
347,1,0,0,31624,47475,57,5575,0,0,0,1,0,0,1,1
348,1,0,0,38700,54054,58,7865,0,1,0,0,0,0,1,1
349,1,0,0,58098,53820,56,4049,0,1,0,0,0,0,1,1
350,1,0,0,57596,52405,65,7712,0,0,0,0,1,0,1,1
351,1,0,0,10285,43239,63,8093,0,0,0,1,0,0,1,1
352,1,0,0,61770,50380,59,8380,0,1,0,0,0,0,1,1
353,1,0,0,138368,47674,60,11905,0,0,0,1,0,0,1,1
354,1,0,0,145860,46754,60,11862,0,0,0,1,0,0,1,1
355,1,0,0,57868,50140,58,7935,0,1,0,0,0,0,1,1
356,1,0,0,66755,46000,58,7540,0,1,0,0,0,0,1,1
357,1,0,0,61009,48410,59,10593,0,1,0,0,0,0,1,1
358,1,0,0,112860,42602,59,9487,0,1,0,0,0,0,1,1
359,1,0,0,34028,43425,57,5738,0,0,0,1,0,0,1,1
360,1,0,0,30450,52875,56,4461,0,1,0,0,0,0,1,1
361,1,0,0,52224,55224,58,6135,0,1,0,0,0,0,1,1
362,1,0,0,14732,53312,56,5181,0,0,0,1,0,0,1,1
363,1,0,0,26880,53058,62,8339,0,0,0,1,0,0,1,1
364,1,0,0,60114,53128,59,8959,0,1,0,0,0,0,1,1
365,1,0,0,102680,51480,60,11034,0,1,0,0,0,0,1,1
366,1,0,0,17280,45704,61,8700,0,0,0,1,0,0,1,1
367,1,0,0,31080,49476,60,8957,0,0,0,1,0,1,0,0
368,1,0,0,31218,52896,59,9304,0,0,0,1,0,1,0,0
369,1,0,0,38144,55822,58,6541,0,0,0,1,0,0,1,1
370,1,0,0,33345,51529,59,9896,0,0,0,1,0,0,1,1
371,1,0,0,15660,54720,50,988,0,0,0,1,0,0,0,0
372,1,0,0,7680,54285,63,8046,0,0,0,1,0,0,1,1
373,1,0,0,86800,41000,58,11372,0,0,0,1,0,0,1,1
374,1,0,0,122496,52459,60,11480,0,0,0,1,0,0,1,1
375,1,0,0,147515,50592,60,11398,0,0,0,1,0,0,1,1
376,1,0,0,38940,51714,58,8448,0,1,0,0,0,0,1,1
377,1,0,0,11926,44814,56,5482,0,0,0,1,0,0,1,1
378,1,0,0,54054,50328,55,3855,0,0,0,1,0,0,1,1
379,1,0,0,87989,43824,58,11301,0,0,0,1,0,0,1,1
380,1,0,0,10795,56406,57,6272,0,0,0,1,0,0,1,1
381,1,0,0,34572,50176,60,9264,0,0,0,1,0,0,1,1
382,1,0,0,28608,53550,58,10039,0,0,0,1,0,0,1,1
383,1,0,0,26860,54612,56,4383,0,1,0,0,0,0,1,1
384,1,0,0,41650,56880,55,2663,0,0,0,1,0,0,1,1
385,1,0,0,34500,56628,55,2485,0,0,0,1,0,0,1,1
386,1,0,0,20570,54250,54,2249,0,0,0,1,0,0,1,1
387,1,0,0,10150,50600,53,2014,0,0,0,1,0,0,1,1
388,1,0,0,15600,54990,59,9691,0,0,0,1,0,0,1,1
